State_Code,County_Code,Parameter_Name,Metric_Used,Year,Arithmetic_Mean,Local_Site_Name,Address,State_Name,County_Name,City_Name
1,073,Ozone,Daily maximum of 8 hour running average of observed hourly values,1990,0.046233,Fairfield,"FAIRFIELD,_PFD,_5229_COURT_B",Alabama,Jefferson,Fairfield
1,073,Ozone,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),1990,0.05862,McAdory,_ROUTE_8_MCADORY,Alabama,Jefferson,
1,073,Ozone,Daily maximum of 8 hour running average of observed hourly values,1990,0.050533,McAdory,_ROUTE_8_MCADORY,Alabama,Jefferson,
1,073,Ozone,Daily maximum of 8 hour running average of observed hourly values,1990,0.050533,McAdory,_ROUTE_8_MCADORY,Alabama,Jefferson,
1,073,Lead_(TSP)_STP,Observed Values,1990,0.729286,,"NEW_JER.,_CALDWELL_FDY.,_177_DUNNAVANT_R",Alabama,Jefferson,Leeds
1,073,Lead_(TSP)_STP,Observed Values,1990,1.542295,,"176_DUNNAVANT_RD,_LEEDS",Alabama,Jefferson,Leeds
1,073,Suspended_particulate_(TSP),Observed Values,1990,46.050847,Leeds,_201_ASHVILLE_ROAD,Alabama,Jefferson,Leeds
1,073,Lead_(TSP)_STP,Observed Values,1990,0.082131,Leeds,_201_ASHVILLE_ROAD,Alabama,Jefferson,Leeds
1,073,PM10_Total_0-10um_STP,Daily Mean,1990,30.737705,Leeds,_201_ASHVILLE_ROAD,Alabama,Jefferson,Leeds
1,073,Suspended_particulate_(TSP),Observed Values,1990,55.6,Wylam,1242_JERSEY_ST_WYLAM_AL,Alabama,Jefferson,Birmingham
1,073,Beryllium_(TSP)_STP,Observed Values,1990,0,Wylam,1242_JERSEY_ST_WYLAM_AL,Alabama,Jefferson,Birmingham
1,073,Barium_(TSP)_STP,Observed Values,1990,0,Wylam,1242_JERSEY_ST_WYLAM_AL,Alabama,Jefferson,Birmingham
1,073,Cadmium_(TSP)_STP,Observed Values,1990,0.0017,Wylam,1242_JERSEY_ST_WYLAM_AL,Alabama,Jefferson,Birmingham
1,073,Chromium_(TSP)_STP,Observed Values,1990,0.01475,Wylam,1242_JERSEY_ST_WYLAM_AL,Alabama,Jefferson,Birmingham
1,073,Copper_(TSP)_STP,Observed Values,1990,1.02225,Wylam,1242_JERSEY_ST_WYLAM_AL,Alabama,Jefferson,Birmingham
1,073,Iron_(TSP)_STP,Observed Values,1990,2.04025,Wylam,1242_JERSEY_ST_WYLAM_AL,Alabama,Jefferson,Birmingham
1,073,Lead_(TSP)_STP,Observed Values,1990,0.08285,Wylam,1242_JERSEY_ST_WYLAM_AL,Alabama,Jefferson,Birmingham
