State_Code,County_Code,Parameter_Code,Metric_Used,Year,Arithmetic_Mean,Local_Site_Name,Address,State_Name,County_Name,City_Name
1,073,45801,Observed Values,1992,0,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,45805,Observed Values,1992,0.3075,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,45805,Observed Values,1992,0.66,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,45806,Observed Values,1992,0.2475,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,45806,Observed Values,1992,0.3,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,45807,Observed Values,1992,0.1875,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,45807,Observed Values,1992,0.24,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,61103,Observed Values,1992,0.255122,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,61104,Observed Values,1992,176.77561,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43205,Observed Values,1992,7.125,,"TARRANT,_ELEM._SCH.,_1269_PORTLAND_STREE",Alabama,Jefferson,Tarrant_(corporate_name_for_Tarrant_City)
1,073,43205,Observed Values,1992,7,,"TARRANT,_ELEM._SCH.,_1269_PORTLAND_STREE",Alabama,Jefferson,Tarrant_(corporate_name_for_Tarrant_City)
1,073,43206,Observed Values,1992,0,,"TARRANT,_ELEM._SCH.,_1269_PORTLAND_STREE",Alabama,Jefferson,Tarrant_(corporate_name_for_Tarrant_City)
1,073,43206,Observed Values,1992,0,,"TARRANT,_ELEM._SCH.,_1269_PORTLAND_STREE",Alabama,Jefferson,Tarrant_(corporate_name_for_Tarrant_City)
1,073,43218,Observed Values,1992,0,,"TARRANT,_ELEM._SCH.,_1269_PORTLAND_STREE",Alabama,Jefferson,Tarrant_(corporate_name_for_Tarrant_City)
1,073,43218,Observed Values,1992,0,,"TARRANT,_ELEM._SCH.,_1269_PORTLAND_STREE",Alabama,Jefferson,Tarrant_(corporate_name_for_Tarrant_City)
1,073,43233,Observed Values,1992,0,,"TARRANT,_ELEM._SCH.,_1269_PORTLAND_STREE",Alabama,Jefferson,Tarrant_(corporate_name_for_Tarrant_City)
1,073,43233,Observed Values,1992,0,,"TARRANT,_ELEM._SCH.,_1269_PORTLAND_STREE",Alabama,Jefferson,Tarrant_(corporate_name_for_Tarrant_City)
1,073,43801,Observed Values,1992,0.1625,,"TARRANT,_ELEM._SCH.,_1269_PORTLAND_STREE",Alabama,Jefferson,Tarrant_(corporate_name_for_Tarrant_City)
1,073,43801,Observed Values,1992,0,,"TARRANT,_ELEM._SCH.,_1269_PORTLAND_STREE",Alabama,Jefferson,Tarrant_(corporate_name_for_Tarrant_City)
1,073,43802,Observed Values,1992,0.7175,,"TARRANT,_ELEM._SCH.,_1269_PORTLAND_STREE",Alabama,Jefferson,Tarrant_(corporate_name_for_Tarrant_City)
1,073,43802,Observed Values,1992,0,,"TARRANT,_ELEM._SCH.,_1269_PORTLAND_STREE",Alabama,Jefferson,Tarrant_(corporate_name_for_Tarrant_City)
